t,frame,x,y,z,doppler,snr_db
1783974072.375,63,7.574,-0.954,0.154,0.0,17.0
1783974072.375,63,7.56,1.699,-0.513,0.0,15.9
1783974072.375,63,6.897,-1.213,3.357,0.0,15.9
1783974072.476,64,0.628,-0.886,-0.327,0.0,11.6
1783974072.476,64,1.013,0.496,-0.115,0.0,11.6
1783974072.476,64,7.445,1.67,0.282,0.0,14.6
1783974072.476,64,7.535,-1.193,-0.294,0.0,14.6
1783974072.476,64,7.49,1.699,-1.152,0.0,15.1
1783974072.476,64,6.628,-1.213,3.861,0.0,15.1
1783974072.577,65,0.674,-0.886,-0.217,0.0,12.3
1783974072.577,65,0.822,0.709,0.328,0.0,12.3
1783974072.577,65,7.15,-1.464,2.779,0.0,12.7
1783974072.678,66,7.569,-0.954,-0.317,0.0,15.0
1783974072.678,66,6.944,1.67,2.7,0.0,15.0
1783974072.678,66,7.12,-1.464,2.854,0.0,12.4
1783974072.678,66,7.604,1.708,0.507,0.0,12.4
1783974072.778,67,0.665,-0.886,-0.243,0.0,11.6
1783974072.778,67,7.574,-0.954,0.109,0.0,18.0
1783974072.778,67,7.502,1.952,0.948,0.0,13.2
1783974072.778,67,7.2,-1.22,2.768,0.0,13.2
1783974072.879,68,0.673,-0.886,-0.221,0.0,11.5
1783974072.879,68,0.9,0.603,0.338,0.0,11.5
1783974072.879,68,7.575,-0.954,-0.079,0.0,17.2
1783974072.879,68,6.9,1.909,2.653,0.0,17.2
1783974072.879,68,7.499,1.941,0.551,0.0,17.0
1783974072.98,69,7.573,-0.954,0.198,0.0,15.5
1783974072.98,69,7.545,1.952,0.499,0.0,13.0
1783974073.082,70,7.628,1.456,0.039,0.0,16.6
1783974073.183,71,7.48,-1.432,0.537,0.0,14.6
1783974073.183,71,7.069,2.625,1.2,0.0,14.6
1783974073.183,71,7.561,1.952,-0.061,0.0,12.9
1783974073.283,72,7.565,-0.954,0.397,0.0,17.1
1783974073.283,72,7.122,2.386,1.369,0.0,17.1
1783974073.283,72,7.543,1.699,-0.729,0.0,15.8
1783974073.384,73,7.575,-0.954,0.093,0.0,16.4
1783974073.384,73,6.676,1.909,3.176,0.0,16.4
1783974073.384,73,7.577,1.699,0.125,0.0,15.9
1783974073.485,74,7.575,-0.954,0.046,0.0,16.1
1783974073.485,74,6.552,1.909,3.423,0.0,16.1
1783974073.485,74,7.668,1.213,-0.183,0.0,16.3
1783974073.586,75,7.568,-0.954,0.337,0.0,14.1
1783974073.586,75,7.627,1.213,-0.818,0.0,17.3
1783974073.688,76,7.555,-0.954,0.55,0.0,15.0
1783974073.688,76,7.343,1.909,0.853,0.0,15.0
1783974073.688,76,7.548,1.952,0.448,0.0,15.9
1783974073.789,77,7.468,-0.704,0.2,0.0,11.5
1783974073.789,77,7.027,2.111,-1.576,0.0,11.5
1783974073.789,77,7.435,1.67,0.477,0.0,15.9
1783974073.789,77,7.541,-1.193,-0.074,0.0,15.9
1783974073.789,77,7.498,2.209,0.757,0.0,11.6
1783974073.891,78,0.983,0.409,-0.239,0.0,11.4
1783974073.891,78,7.559,-0.954,0.494,0.0,15.9
1783974073.891,78,7.596,1.456,-0.697,0.0,16.0
1783974073.993,79,7.565,-0.954,0.386,0.0,16.8
1783974073.993,79,7.627,1.456,0.156,0.0,16.3
1783974074.093,80,7.574,-0.954,0.154,0.0,18.4
1783974074.093,80,7.577,1.699,0.135,0.0,16.6
1783974074.194,81,7.532,-0.949,-0.024,0.0,15.3
1783974074.194,81,6.624,1.898,3.186,0.0,15.3
1783974074.194,81,7.688,1.22,-0.631,0.0,13.9
1783974074.194,81,7.155,-1.22,2.882,0.0,13.9
1783974074.294,82,7.51,-0.954,0.992,0.0,14.6
1783974074.294,82,7.527,1.699,-0.878,0.0,17.2
