seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
198,634611120,0,1001,13,-10,-280,-1050,-70
199,634616122,0,1001,13,-10,-280,-1050,-70
200,634621125,0,1002,13,-12,-280,-1120,-70
201,634626124,0,1002,13,-12,-280,-1120,-70
202,634631121,0,1002,13,-12,-280,-1120,-70
203,634636124,0,1002,13,-12,-280,-1120,-70
204,634641123,0,1002,13,-13,-280,-1050,-70
205,634646122,0,1002,13,-13,-280,-1050,-70
206,634651125,0,1002,13,-13,-280,-1050,-70
207,634656122,0,1002,13,-13,-280,-1050,-70
208,634661121,0,1001,13,-13,-280,-1050,-70
209,634666125,0,1001,13,-13,-280,-1050,-70
210,634671123,0,1001,13,-13,-280,-1050,-70
211,634676123,0,1002,13,-12,-210,-980,-70
212,634681125,0,1002,13,-12,-210,-980,-70
213,634686122,0,1002,13,-12,-210,-980,-70
214,634691120,0,1002,13,-12,-210,-980,-70
215,634696120,0,1002,13,-10,-210,-980,-70
216,634701123,0,1002,13,-10,-210,-980,-70
217,634706124,0,1002,13,-10,-210,-980,-70
218,634711123,0,1002,13,-10,-210,-980,-70
219,634716122,0,1001,12,-11,-210,-980,-70
220,634721122,0,1001,12,-11,-210,-980,-70
221,634726120,0,1001,12,-11,-210,-980,-70
222,634731123,0,1003,13,-10,-280,-1050,-70
223,634736124,0,1003,13,-10,-280,-1050,-70
224,634741121,0,1003,13,-10,-280,-1050,-70
225,634746123,0,1003,13,-10,-280,-1050,-70
226,634751129,0,1001,13,-11,-210,-1120,-70
227,634756126,0,1001,13,-11,-210,-1120,-70
228,634761121,0,1001,13,-11,-210,-1120,-70
229,634766123,0,1001,13,-11,-210,-1120,-70
230,634771121,0,1002,13,-13,-210,-1050,-70
231,634776119,0,1002,13,-13,-210,-1050,-70
232,634781119,0,1002,13,-13,-210,-1050,-70
233,634786123,0,1002,13,-12,-210,-980,-70
234,634791124,0,1002,13,-12,-210,-980,-70
235,634796122,0,1002,13,-12,-210,-980,-70
236,634801124,0,1002,13,-12,-210,-980,-70
237,634806121,0,1002,13,-13,-210,-980,-70
238,634811122,0,1002,13,-13,-210,-980,-70
239,634816127,0,1002,13,-13,-210,-980,-70
240,634821124,0,1002,13,-13,-210,-980,-70
241,634826121,0,1002,14,-11,-210,-980,-70
242,634831121,0,1002,14,-11,-210,-980,-70
243,634836120,0,1002,14,-11,-210,-980,-70
244,634841122,0,1002,14,-11,-210,-980,-70
245,634846122,0,1001,13,-11,-210,-1050,-140
246,634851125,0,1001,13,-11,-210,-1050,-140
247,634856123,0,1001,13,-11,-210,-1050,-140
248,634861122,0,1002,13,-11,-280,-1050,-70
249,634866122,0,1002,13,-11,-280,-1050,-70
250,634871124,0,1002,13,-11,-280,-1050,-70
