track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
151,,unknown,metal,7.6,-15.6,13.9,0.23,0.45,0.77,3.1,48.2,49.8,0.8,0.0,0.0,0.0,0.0,6.47,3.42,1.36,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
152,,static,metal,7.69,-13.5,-16.0,0.34,0.41,1.35,3.3,47.7,48.9,0.7,0.0,0.0,0.0,0.0,3.99,0.5,1.56,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
149,,unknown,metal,7.49,-18.6,0.7,0.19,0.43,0.51,2.8,48.6,49.8,1.6,0.0,0.0,0.0,0.0,1.24,1.14,4.18,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
153,,static,fabric,1.14,55.7,-18.8,0.03,0.01,0.02,2.4,13.6,14.0,0.2,0.0,0.0,0.0,0.0,0.1,0.01,1.58,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
155,,unknown,metal,7.69,-10.3,-0.0,0.4,0.53,1.65,4.0,49.4,51.0,1.3,0.0,0.0,0.0,0.0,9.69,2.86,0.86,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
158,,static,metal,7.64,7.3,10.4,0.04,0.0,0.24,2.0,50.0,50.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.38,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
157,,static,metal,7.75,-8.6,-11.3,0.28,0.51,0.68,4.1,48.7,50.1,1.1,0.0,0.0,0.0,0.0,1.65,0.58,1.07,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
160,,static,metal,7.74,-8.5,-0.2,0.03,0.21,1.04,2.8,47.1,47.2,0.1,0.0,0.0,0.0,0.0,1.45,0.31,0.34,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
163,,static,metal,7.63,-14.0,-25.5,0.32,0.0,0.65,2.0,51.0,51.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.26,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164,,static,metal,7.47,-16.3,3.0,0.16,0.46,0.33,2.0,46.2,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
154,,unknown,fabric,0.77,13.8,3.7,0.24,0.38,0.48,3.9,14.1,15.8,1.6,0.0,0.03,0.09,0.1,3.09,0.95,6.7,63.0,0.0,0.0,0.0,0.057,0.854,0.089,0.0,0.0,0.0
161,,static,fabric,1.14,55.9,-19.2,0.04,0.01,0.09,3.3,14.0,15.4,0.6,0.0,0.0,0.0,0.0,0.07,0.04,5.38,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
165,,static,fabric,1.13,-40.1,24.6,0.04,0.01,0.06,3.0,13.8,14.7,0.4,0.0,0.0,0.0,0.0,0.14,0.02,2.19,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
166,,static,metal,7.62,-16.4,27.6,0.28,0.05,0.6,2.2,50.9,51.6,0.9,0.0,0.0,0.0,0.0,0.92,0.89,3.12,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
168,,static,metal,7.74,9.5,18.5,0.23,0.36,0.48,2.2,49.3,50.1,0.8,0.0,0.0,0.0,0.0,0.63,0.11,1.73,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
167,,static,metal,7.61,-17.1,14.4,0.25,0.36,0.92,3.8,50.2,51.4,1.1,0.0,0.0,0.0,0.0,1.96,0.7,2.91,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
171,,static,metal,7.64,-16.1,26.2,0.13,0.14,0.24,2.2,52.1,52.7,1.2,0.0,0.0,0.0,0.0,1.25,0.47,1.08,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
172,,static,metal,7.75,10.8,20.0,0.3,0.09,0.66,2.0,49.0,49.2,0.3,0.0,0.0,0.0,0.0,3.08,0.48,0.47,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
170,,static,fabric,1.11,-16.1,-5.0,0.05,0.26,0.53,2.4,14.5,17.7,1.6,-0.08,0.08,0.11,0.1,0.46,0.15,1.62,5.0,0.0,0.0,0.0,0.333,0.667,0.0,0.0,0.0,0.0
173,,static,metal,7.64,-14.6,-24.8,0.3,0.15,0.55,2.0,50.5,52.1,1.2,0.0,0.0,0.0,0.0,1.27,0.47,0.69,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
