seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
206179,1093025304,0,1002,4,15,-280,-1050,-70
206180,1093030312,0,1002,4,14,-280,-1120,-70
206181,1093035305,0,1002,4,14,-280,-1120,-70
206182,1093040312,0,1002,4,14,-280,-1120,-70
206183,1093045311,0,1002,4,14,-280,-1120,-70
206184,1093050303,0,1002,4,14,-210,-1050,-70
206185,1093055308,0,1002,4,14,-210,-1050,-70
206186,1093060314,0,1002,4,14,-210,-1050,-70
206187,1093065307,0,1002,4,15,-280,-1050,-70
206188,1093070303,0,1002,4,15,-280,-1050,-70
206189,1093077161,0,1002,4,15,-280,-1050,-70
206190,1093081055,0,1002,4,15,-280,-1050,-70
206192,1093085360,0,1003,4,14,-210,-1050,-70
206193,1093091637,0,1003,4,14,-210,-1050,-70
206195,1093095338,0,1003,4,14,-210,-1050,-70
206196,1093100318,0,1003,4,14,-210,-1050,-70
206197,1093105307,0,1002,4,14,-210,-1050,-70
206198,1093110306,0,1002,4,14,-210,-1050,-70
206199,1093115316,0,1002,4,14,-210,-1050,-70
206200,1093120305,0,1002,3,15,-210,-1050,-70
206201,1093125311,0,1002,3,15,-210,-1050,-70
206202,1093130310,0,1002,3,15,-210,-1050,-70
206203,1093135306,0,1002,3,15,-210,-1050,-70
206204,1093140308,0,1002,4,15,-280,-1050,-70
206205,1093145312,0,1002,4,15,-280,-1050,-70
206206,1093150307,0,1002,4,15,-280,-1050,-70
206207,1093155313,0,1002,4,15,-280,-1050,-70
206208,1093160306,0,1002,4,15,-280,-1050,-70
206209,1093165307,0,1002,4,15,-280,-1050,-70
206210,1093170306,0,1002,4,15,-280,-1050,-70
206211,1093175310,0,1002,4,15,-280,-1050,-70
206212,1093180309,0,1003,4,14,-280,-1050,-70
206213,1093185317,0,1003,4,14,-280,-1050,-70
206214,1093191100,0,1003,4,14,-280,-1050,-70
206216,1093195454,0,1002,3,14,-210,-1050,-70
206217,1093200644,0,1002,3,14,-210,-1050,-70
206218,1093205371,0,1002,3,14,-210,-1050,-70
206220,1093210335,0,1002,3,14,-210,-1050,-70
206221,1093215314,0,1002,4,13,-210,-1050,-70
206222,1093220309,0,1002,4,13,-210,-1050,-70
206223,1093225309,0,1002,4,13,-210,-1050,-70
206224,1093230311,0,1002,4,13,-210,-1050,-70
206225,1093235304,0,1002,3,15,-210,-1050,-70
206226,1093240314,0,1002,3,15,-210,-1050,-70
206227,1093245307,0,1002,3,15,-210,-1050,-70
206228,1093250309,0,1003,4,14,-210,-1050,-70
206229,1093255306,0,1003,4,14,-210,-1050,-70
206230,1093260306,0,1003,4,14,-210,-1050,-70
206231,1093265308,0,1003,4,14,-210,-1050,-70
206232,1093270316,0,1002,4,15,-210,-1050,-70
206233,1093275308,0,1002,4,15,-210,-1050,-70
206234,1093280315,0,1002,4,15,-210,-1050,-70
206235,1093285306,0,1002,4,15,-210,-1050,-70
206236,1093290305,0,1003,2,15,-210,-1050,-70
206237,1093295316,0,1003,2,15,-210,-1050,-70
206238,1093300308,0,1003,2,15,-210,-1050,-70
206239,1093305336,0,1003,4,14,-210,-1050,-70
206241,1093310607,0,1003,4,14,-210,-1050,-70
206242,1093315536,0,1003,4,14,-210,-1050,-70
206244,1093320441,0,1003,4,14,-210,-1050,-70
206245,1093325335,0,1001,4,14,-210,-1050,-70
206246,1093330316,0,1001,4,14,-210,-1050,-70
206247,1093335310,0,1001,4,14,-210,-1050,-70
206248,1093340303,0,1001,4,14,-210,-1050,-70
206249,1093345306,0,1002,4,14,-210,-1050,-70
206250,1093350310,0,1002,4,14,-210,-1050,-70
206251,1093355307,0,1002,4,14,-210,-1050,-70
206252,1093360307,0,1002,4,14,-210,-1050,-70
206253,1093365306,0,1001,4,15,-210,-1050,-70
206254,1093370309,0,1001,4,15,-210,-1050,-70
206255,1093375307,0,1001,4,15,-210,-1050,-70
206256,1093380310,0,1002,3,14,-210,-1050,-70
206257,1093385307,0,1002,3,14,-210,-1050,-70
206258,1093390309,0,1002,3,14,-210,-1050,-70
206259,1093395310,0,1002,3,14,-210,-1050,-70
206260,1093400307,0,1003,4,15,-210,-1050,-70
206261,1093405316,0,1003,4,15,-210,-1050,-70
206262,1093410307,0,1003,4,15,-210,-1050,-70
206263,1093415308,0,1003,4,15,-210,-1050,-70
206264,1093421060,0,1003,4,14,-210,-1050,-70
206266,1093425583,0,1003,4,14,-210,-1050,-70
206267,1093430513,0,1003,4,14,-210,-1050,-70
206269,1093435349,0,1002,3,14,-280,-1050,-70
206270,1093440315,0,1002,3,14,-280,-1050,-70
206271,1093445309,0,1002,3,14,-280,-1050,-70
206272,1093450308,0,1002,3,14,-280,-1050,-70
206273,1093455307,0,1002,4,15,-210,-1050,-70
206274,1093460308,0,1002,4,15,-210,-1050,-70
206275,1093465305,0,1002,4,15,-210,-1050,-70
206276,1093470310,0,1002,4,15,-210,-1050,-70
206277,1093475308,0,1002,4,15,-210,-1050,-70
206278,1093480306,0,1002,4,15,-210,-1050,-70
206279,1093485312,0,1002,4,15,-210,-1050,-70
206280,1093490307,0,1002,4,14,-280,-1050,-70
206281,1093495307,0,1002,4,14,-280,-1050,-70
206282,1093500311,0,1002,4,14,-280,-1050,-70
206283,1093505307,0,1002,4,14,-280,-1050,-70
206284,1093510307,0,1002,4,14,-280,-1050,-70
206285,1093515317,0,1002,4,14,-280,-1050,-70
206286,1093520308,0,1002,4,14,-280,-1050,-70
206287,1093525307,0,1002,4,14,-280,-1050,-70
206288,1093533036,0,1001,3,15,-210,-1050,-70
206289,1093536930,0,1001,3,15,-210,-1050,-70
206291,1093540624,0,1001,3,15,-210,-1050,-70
206292,1093547516,0,1002,4,14,-210,-1050,-70
206295,1093550334,0,1002,4,14,-210,-1050,-70
206296,1093555317,0,1002,4,14,-210,-1050,-70
206297,1093560307,0,1002,4,14,-210,-1050,-70
206298,1093565308,0,1002,4,13,-210,-1050,-70
206299,1093570307,0,1002,4,13,-210,-1050,-70
206300,1093575306,0,1002,4,13,-210,-1050,-70
206301,1093580308,0,1002,4,13,-210,-1050,-70
206302,1093585308,0,1002,3,15,-210,-1050,-70
206303,1093590307,0,1002,3,15,-210,-1050,-70
206304,1093595306,0,1002,3,15,-210,-1050,-70
206305,1093600313,0,1002,3,15,-210,-1050,-70
206306,1093605308,0,1002,3,16,-280,-1050,-70
206307,1093610309,0,1002,3,16,-280,-1050,-70
206308,1093615308,0,1002,3,16,-280,-1050,-70
206309,1093620305,0,1003,3,15,-210,-1050,-70
206310,1093625311,0,1003,3,15,-210,-1050,-70
206311,1093630308,0,1003,3,15,-210,-1050,-70
206312,1093635305,0,1003,3,15,-210,-1050,-70
